bins,alert,Eureka,CB
261,7.175373308911451e-16,1.7263537231307186e-15,2.715347154489539e-15
262,7.584335145104094e-16,1.6617222407643539e-15,2.6259637808476873e-15
263,7.092364355375075e-16,1.6697647952954726e-15,2.6256264330198896e-15
264,7.032876685030692e-16,1.6122140397495204e-15,2.497292868685122e-15
265,6.797350236273803e-16,1.5625339665250802e-15,2.47262475679029e-15
266,6.843721083156161e-16,1.506664390151999e-15,2.4763782248242443e-15
267,6.477996192854294e-16,1.502349539279132e-15,2.2987974678097268e-15
268,6.396552899384355e-16,1.4617396037076153e-15,2.253350917409344e-15
269,6.365976160548158e-16,1.4298775384200683e-15,2.2653652666185935e-15
270,5.992351295046241e-16,1.430514219665901e-15,2.175066072190868e-15
271,6.243681707296476e-16,1.4314519546233807e-15,2.1322411349982557e-15
272,6.020826315108162e-16,1.3860395239761148e-15,2.082580647881985e-15
273,6.058488293444933e-16,1.3477515996223636e-15,2.1086021757075333e-15
274,5.840089974474932e-16,1.350017063416441e-15,2.019922373878297e-15
275,5.74003949816099e-16,1.2883984023707129e-15,1.953003538520889e-15
276,5.794299344975828e-16,1.2634648147440315e-15,1.924893708909331e-15
277,5.710801749917674e-16,1.2331554569094614e-15,1.9829017805061967e-15
278,5.578189839440182e-16,1.1998985762521134e-15,1.8781562049090262e-15
279,5.473406366010916e-16,1.194087498573859e-15,1.8182695746517963e-15
280,5.278699187415917e-16,1.1511887557728341e-15,1.7832211852378266e-15
281,5.1696927098983035e-16,1.1525594764910142e-15,1.7526376939597938e-15
282,5.227306488804831e-16,1.1214297653678456e-15,1.6854721531775477e-15
283,4.94155347096313e-16,1.0979121590228709e-15,1.671871149109411e-15
284,4.992827550866913e-16,1.0842411742303069e-15,1.64826069857342e-15
285,4.940812121020759e-16,1.0773079385378859e-15,1.6030007844010377e-15
286,4.842171092528293e-16,1.0544670482571725e-15,1.5316598109330755e-15
287,4.761770410041579e-16,1.0505388781013523e-15,1.5528215095910596e-15
288,4.780887682248256e-16,1.0306503573251532e-15,1.503558379262887e-15
289,4.579090048948114e-16,9.99143465970926e-16,1.46901508159443e-15
290,4.524007261443725e-16,9.855278712940335e-16,1.41877695765541e-15
291,4.458508986278191e-16,9.58243756673128e-16,1.3838302048943542e-15
292,4.321353201755443e-16,9.233475556907206e-16,1.4071662103765091e-15
293,4.297823213044068e-16,9.197573036822706e-16,1.3435432105978613e-15
294,4.102195953718714e-16,9.01001599009927e-16,1.3462685667542385e-15
295,4.0431971400326126e-16,8.926727818051735e-16,1.279001363043916e-15
296,4.0233925834754114e-16,8.863292531746671e-16,1.2522605291498403e-15
297,3.998468824600951e-16,8.785999808177091e-16,1.241412050605531e-15
298,3.8962572108409285e-16,8.795705445652224e-16,1.2223997553274804e-15
299,3.7503615950519255e-16,8.538889744959776e-16,1.1831425895052206e-15
300,3.770034391728777e-16,8.431326351639873e-16,1.152326755026259e-15
301,3.729797690937235e-16,8.226728527239472e-16,1.1164338282052685e-15
302,3.620296547967792e-16,8.153498249495809e-16,1.1143796112649679e-15
303,3.599015830222513e-16,7.885834747306879e-16,1.0941601299097742e-15
304,3.5835030672850236e-16,7.704675546340961e-16,1.0700151345351823e-15
305,3.5242913523632177e-16,7.625261406435381e-16,1.0286656787532322e-15
306,3.3994353664367617e-16,7.574698324579363e-16,1.0139896714313203e-15
307,3.3345316514548675e-16,7.208000290901719e-16,1.0336040021097226e-15
308,3.3312197626174724e-16,7.173624405271487e-16,9.90306621342224e-16
309,3.267656620652756e-16,7.093505281387595e-16,9.888624335742392e-16
310,3.2463020612364186e-16,6.967889942676061e-16,9.47536142433328e-16
311,3.1707383077463596e-16,6.885517863413487e-16,9.382407614479119e-16
312,3.1154572469340416e-16,6.811079577302877e-16,9.120778616186765e-16
313,3.106047501023196e-16,6.551891988114921e-16,9.039381114604034e-16
314,2.943245094718435e-16,6.445098583109447e-16,8.907025042245028e-16
315,3.025699445927208e-16,6.424426446647627e-16,8.747931865501351e-16
316,2.851651417163162e-16,6.292919642364621e-16,8.329744058198363e-16
317,2.8296685474589115e-16,6.25241685339728e-16,8.180818625684594e-16
318,2.8549141706732397e-16,6.125148414067548e-16,8.179178557755906e-16
319,2.7287464817974013e-16,5.923614288123533e-16,7.904962211719576e-16
320,2.7217052962344104e-16,5.901286952658679e-16,7.808092489562658e-16
321,2.631825283970837e-16,5.74299014534721e-16,7.49292603096155e-16
322,2.615007307683187e-16,5.821858707232529e-16,7.266932639322239e-16
323,2.5994820214039583e-16,5.715028732886617e-16,7.299345741930419e-16
324,2.5527382210735297e-16,5.453483502672677e-16,7.173505610962028e-16
325,2.498060874416702e-16,5.273133315784711e-16,7.163261289359208e-16
326,2.4082840102278464e-16,5.356892592970654e-16,6.842611951666384e-16
327,2.390437184862648e-16,5.168721698356297e-16,6.685245014820262e-16
328,2.3740492331482397e-16,5.251248772544619e-16,6.448804594372942e-16
329,2.3439170348167097e-16,4.983247257182681e-16,6.302461416425598e-16
330,2.2405210515492703e-16,4.880495696027269e-16,6.219743338191363e-16
331,2.2380311112484524e-16,4.962735747899954e-16,6.139207457653978e-16
332,2.252081895554037e-16,4.697917948681164e-16,5.981667264079449e-16
333,2.150172923306125e-16,4.64755650407718e-16,5.863697290518777e-16
334,2.1403020417330719e-16,4.649760432582154e-16,5.878242765353786e-16
335,2.0614700540675347e-16,4.4133751211823667e-16,5.781342628075059e-16
336,2.0759755163845055e-16,4.373517292641238e-16,5.564859847220771e-16
337,2.0252553286537365e-16,4.2689400095953164e-16,5.550923362990235e-16
338,1.968215676964331e-16,4.216383609456296e-16,5.273670858039342e-16
339,1.9639194113892613e-16,4.1793301348491337e-16,5.407847698465918e-16
340,1.8971506764342737e-16,4.038871199856658e-16,5.169398274110919e-16
341,1.8993938147968301e-16,3.92276560468724e-16,5.046041988199246e-16
342,1.8547096478365066e-16,3.904190685929607e-16,4.840615069636595e-16
343,1.833435002073988e-16,3.9374900520630297e-16,4.758036574022128e-16
344,1.7602434889151842e-16,3.865402093030344e-16,4.770501322838571e-16
345,1.7303566246908502e-16,3.7463909902252233e-16,4.740120901680634e-16
346,1.7491823729675303e-16,3.662151130047476e-16,4.517999670900636e-16
347,1.7204485967003447e-16,3.661924258922291e-16,4.44104807283477e-16
348,1.6757150502538441e-16,3.5805314614056896e-16,4.3858556181830546e-16
349,1.654093990634091e-16,3.4942547113055864e-16,4.327909472291031e-16
350,1.6069633513170375e-16,3.4424748999121325e-16,4.2149109554037724e-16
351,1.5636854225685274e-16,3.3703960086260005e-16,4.0902562343098086e-16
352,1.541916372760962e-16,3.2724508454559303e-16,4.0834563128644426e-16
353,1.5351411933499719e-16,3.256705551998862e-16,3.991065434107849e-16
354,1.514523678087208e-16,3.064332175551493e-16,3.8789792410759413e-16
355,1.4855039302129508e-16,3.050161073408185e-16,3.8137940517740664e-16
356,1.4598752574755335e-16,3.0682165568915113e-16,3.6980078142456745e-16
357,1.464544532999053e-16,2.9780397021606644e-16,3.664723697161671e-16
358,1.4242374301053943e-16,3.0030146226499996e-16,3.655825777403033e-16
359,1.3663090639558926e-16,2.9260492396916347e-16,3.5202747461632323e-16
360,1.3580335668115715e-16,2.8525875914210686e-16,3.524386553446779e-16
361,1.3183586446800788e-16,2.7610867446327403e-16,3.356309830802873e-16
362,1.3063804188990365e-16,2.7264026564860487e-16,3.3598553027640313e-16
363,1.2947178524578067e-16,2.7757863982329907e-16,3.245541596471474e-16
364,1.264030653031715e-16,2.6287666330939915e-16,3.1870529738214913e-16
365,1.2589089461684072e-16,2.5330750904580324e-16,3.1310899761029247e-16
366,1.2554121463967912e-16,2.494410282678078e-16,3.0006401983417863e-16
367,1.226209570908809e-16,2.4441912346928956e-16,3.0808713774241327e-16
368,1.1869630293401092e-16,2.4054240625927954e-16,2.9265005827353035e-16
369,1.17790446348175e-16,2.3534530731389798e-16,2.9432353658431775e-16
370,1.144894983513313e-16,2.3824158965424573e-16,2.7895427174746974e-16
371,1.1378550365975273e-16,2.36797888685577e-16,2.78386709955461e-16
372,1.0777722011510484e-16,2.3032762466873583e-16,2.7276650506231906e-16
373,1.0793666139988917e-16,2.226956084619598e-16,2.7249289033977333e-16
374,1.0921182334571594e-16,2.220227712245587e-16,2.651241681337485e-16
375,1.053163540587314e-16,2.194089014820322e-16,2.6174142457729976e-16
376,1.0307654155464371e-16,2.1419386413276333e-16,2.5693058921215373e-16
377,1.0192891567424937e-16,2.064356838018741e-16,2.513311833287485e-16
378,1.0190598455331498e-16,2.075317570000498e-16,2.435478906076538e-16
